exp,problem,cfg,seed,method,theta,iters,phase1_iters,phase2_iters,fevals,gevals,hevals,hvevals,time_s,gnorm,fval,converged,switched,switched_at_gnorm,probes_failed,rho_hat,decisions,probes_fired,error
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.000630957344480193,356,356,0,1,359,1,0,0.656,6.663404085663011e-12,-75918.72034491596,1,1,0.00063986167928922,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.000630957344480193,357,357,0,1,360,1,0,0.727,6.715985185262322e-12,-75918.72034491597,1,1,0.0006479144564648878,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,0.000630957344480193,357,357,0,1,360,1,0,0.756,6.338038215832239e-12,-75918.72034491593,1,1,0.0006347119840118484,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,0.000630957344480193,351,351,0,1,354,1,0,0.599,7.093287356047739e-12,-75918.72034491597,1,1,0.000647720458928564,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,0.000630957344480193,355,355,0,1,358,1,0,0.695,6.4022899625777075e-12,-75918.72034491596,1,1,0.0006308206428198385,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,0.000630957344480193,355,355,0,1,358,1,0,0.69,6.609752190978004e-12,-75918.720344916,1,1,0.0006368867213891259,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,0.000630957344480193,353,353,0,1,356,1,0,0.648,6.622215412994113e-12,-75918.72034491599,1,1,0.0006450951196324106,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.000630957344480193,354,354,0,1,357,1,0,0.598,6.5535126881456895e-12,-75918.72034491597,1,1,0.0006365522976403699,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.000630957344480193,354,354,0,1,357,1,0,0.635,6.616962369448123e-12,-75918.72034491597,1,1,0.0006351960885502645,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.000630957344480193,351,351,0,1,354,1,0,0.619,6.3439052472377255e-12,-75918.72034491596,1,1,0.0006366326085295156,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,0.00015848931924611142,398,398,0,1,401,1,0,0.742,6.379174171659606e-12,-75918.72034491599,1,1,0.00015857590827459152,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,0.00015848931924611142,400,400,0,1,403,1,0,0.816,6.5903547365465766e-12,-75918.72034491599,1,1,0.00016197797897223953,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,0.00015848931924611142,399,399,0,1,402,1,0,0.576,6.672122325695324e-12,-75918.72034491597,1,1,0.00015847785176322247,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,0.00015848931924611142,391,391,0,1,394,1,0,0.708,6.530995454550629e-12,-75918.72034491594,1,1,0.00016248077866918174,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,0.00015848931924611142,395,395,0,1,398,1,0,0.792,6.470456534941539e-12,-75918.72034491597,1,1,0.00016237959204231986,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,0.00015848931924611142,397,397,0,1,400,1,0,0.753,6.503697500875607e-12,-75918.72034491596,1,1,0.00015898004473354857,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,0.00015848931924611142,395,395,0,1,398,1,0,0.693,6.604408729343908e-12,-75918.72034491597,1,1,0.0001583247630964704,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,0.00015848931924611142,396,396,0,1,399,1,0,0.762,6.380398801734861e-12,-75918.72034491597,1,1,0.0001602773508933019,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,0.00015848931924611142,396,396,0,1,399,1,0,0.79,6.674842771091128e-12,-75918.72034491596,1,1,0.00015816274591088739,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,0.00015848931924611142,391,391,0,1,394,1,0,0.773,6.328496054584814e-12,-75918.72034491597,1,1,0.00016120729416073317,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,3.9810717055349695e-05,438,438,0,1,441,1,0,0.763,6.627692110610319e-12,-75918.72034491594,1,1,4.046657415282976e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,3.9810717055349695e-05,442,442,0,1,445,1,0,0.85,6.783045049308832e-12,-75918.72034491599,1,1,3.992577314862002e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,3.9810717055349695e-05,440,440,0,1,443,1,0,0.85,6.573266573334747e-12,-75918.72034491596,1,1,3.9997284323303606e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,3.9810717055349695e-05,433,433,0,1,436,1,0,0.833,6.265603403553792e-12,-75918.72034491594,1,1,4.02666516669555e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,3.9810717055349695e-05,437,437,0,1,440,1,0,0.777,6.484623427257188e-12,-75918.72034491594,1,1,4.022247163898081e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,3.9810717055349695e-05,440,440,0,1,443,1,0,0.902,6.626196750147364e-12,-75918.72034491594,1,1,4.019680911014947e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,3.9810717055349695e-05,437,437,0,1,440,1,0,0.794,6.5272516681481365e-12,-75918.72034491596,1,1,3.995937110918482e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,3.9810717055349695e-05,437,437,0,1,440,1,0,0.815,6.311609579545021e-12,-75918.72034491597,1,1,4.042839421496584e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,3.9810717055349695e-05,437,437,0,1,440,1,0,0.904,6.511867357177646e-12,-75918.720344916,1,1,4.0300119178456875e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,3.9810717055349695e-05,435,435,0,1,438,1,0,0.856,6.3679308148808015e-12,-75918.72034491599,1,1,3.983786729130464e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,1e-05,481,481,0,1,484,1,0,0.94,6.8594853704760834e-12,-75918.72034491599,1,1,9.994450486403593e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,1e-05,484,484,0,1,487,1,0,0.964,6.762932732086423e-12,-75918.72034491597,1,1,1.0289726791154331e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,1e-05,483,482,1,8,487,2,0,1.124,6.8435908010228e-12,-75918.72034491597,1,1,1.0019319994806503e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,1e-05,476,475,1,2,480,2,0,1.155,6.478781304457492e-12,-75918.72034491599,1,1,1.0281977708068572e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,1e-05,479,478,1,2,483,2,0,1.003,6.735068142260406e-12,-75918.72034491596,1,1,1.0140366777544474e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,1e-05,481,481,0,1,484,1,0,1.05,6.55459715216722e-12,-75918.72034491597,1,1,1.0152787795420827e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,1e-05,479,479,0,1,482,1,0,0.939,6.771957117838737e-12,-75918.72034491599,1,1,1.009627833420052e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,1e-05,477,477,0,1,480,1,0,0.746,6.551027734296278e-12,-75918.72034491596,1,1,1.0278820065501097e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,1e-05,477,477,0,1,480,1,0,0.908,6.50625291061493e-12,-75918.72034491599,1,1,1.0169513824148135e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,1e-05,477,476,1,29,481,2,0,1.276,6.566384689939835e-12,-75918.72034491591,1,1,1.0222713005961106e-05,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,2.5118864315095823e-06,524,523,1,2,528,2,0,1.132,6.620927801960201e-12,-75918.72034491594,1,1,2.5149559588485574e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,2.5118864315095823e-06,528,527,1,3,532,2,0,1.229,6.672287612515888e-12,-75918.72034491593,1,1,2.5203202095166822e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,2.5118864315095823e-06,526,525,1,4,530,2,0,0.955,6.410524329400142e-12,-75918.72034491596,1,1,2.5533475919353193e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,2.5118864315095823e-06,517,516,1,2,521,2,0,1.174,6.393313586640584e-12,-75918.72034491596,1,1,2.571466930190217e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,2.5118864315095823e-06,521,520,1,4,525,2,0,1.001,6.87907780959129e-12,-75918.72034491597,1,1,2.5278462362619015e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,2.5118864315095823e-06,524,524,0,1,527,1,0,1.12,6.5012699505149504e-12,-75918.72034491597,1,1,2.5338922193936554e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,2.5118864315095823e-06,521,521,0,1,524,1,0,1.077,6.385385900607308e-12,-75918.72034491596,1,1,2.58174293867657e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,2.5118864315095823e-06,521,520,1,2,525,2,0,0.92,6.415705403187319e-12,-75918.72034491599,1,1,2.5859144689534466e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,8,Hybrid-fixed,2.5118864315095823e-06,519,519,0,1,522,1,0,1.081,6.445186635818141e-12,-75918.72034491599,1,1,2.571402077955848e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,9,Hybrid-fixed,2.5118864315095823e-06,519,519,0,1,522,1,0,1.074,6.341760354632416e-12,-75918.72034491599,1,1,2.5272796533798965e-06,0,,,,
E7,quadratic,kappa1000.0-n1000,0,Hybrid-fixed,6.30957344480193e-07,564,564,0,1,567,1,0,0.705,6.539812527490871e-12,-75918.72034491596,1,1,6.471740845204034e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,1,Hybrid-fixed,6.30957344480193e-07,568,568,0,1,571,1,0,0.831,6.469773517905056e-12,-75918.72034491597,1,1,6.484565125557664e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,2,Hybrid-fixed,6.30957344480193e-07,568,567,1,3,572,2,0,0.43,6.6179780287122045e-12,-75918.72034491596,1,1,6.423437284903e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,3,Hybrid-fixed,6.30957344480193e-07,560,560,0,1,563,1,0,0.41,6.334638177726233e-12,-75918.72034491599,1,1,6.355010921181441e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,4,Hybrid-fixed,6.30957344480193e-07,564,563,1,2,568,2,0,0.574,6.372703866693489e-12,-75918.72034491594,1,1,6.529954091778286e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,5,Hybrid-fixed,6.30957344480193e-07,566,566,0,1,569,1,0,0.379,6.489343714361791e-12,-75918.72034491599,1,1,6.300594874975077e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,6,Hybrid-fixed,6.30957344480193e-07,564,564,0,1,567,1,0,0.833,6.458930443907919e-12,-75918.72034491599,1,1,6.339319533562573e-07,0,,,,
E7,quadratic,kappa1000.0-n1000,7,Hybrid-fixed,6.30957344480193e-07,563,562,1,2,567,2,0,1.225,6.6283402889430725e-12,-75918.72034491596,1,1,6.329164610545982e-07,0,,,,
